"country","year","province","municipality","municipality_normalized","waste_generation_tpd","managed_waste_pct","unmanaged_waste_pct","leaked_to_environment_pct","rdf_status","wte_psel","composition_match","food_waste_share_pct","paper_cardboard_share_pct","plastic_share_pct","paper_plastic_share_pct","combustible_dry_share_pct","reported_component_sum_pct","municipality_feedstock_risk_score_0_100","municipality_feedstock_risk_level","risk_formula_note"
"Indonesia","2025","Gorontalo","Kabupaten Bone Bolango","kabupaten bone bolango","56.86","0.49","0.51","0.51","","Tidak Ada","matched","29.22","14.31","21.22","35.53","67.03","100","43.05","Low","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Gorontalo","Kabupaten Gorontalo Utara","kabupaten gorontalo utara","67.43","0","1","0.78","","Tidak Ada","unmatched","","","","","","","93.71","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Gorontalo","Kota Gorontalo","kota gorontalo","143.05","0.66","0.34","0.34","","Tidak Ada","matched","","","","0","0","0","61.5","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Jambi","Kabupaten Kerinci","kabupaten kerinci","127.87","0.39","0.61","0.61","","Tidak Ada","unmatched","","","","","","","61","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Jambi","Kabupaten Merangin","kabupaten merangin","186.7","0","1","1","","Tidak Ada","unmatched","","","","","","","100","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Jambi","Kabupaten Sarolangun","kabupaten sarolangun","122.6","0.01","0.99","0.68","","Tidak Ada","unmatched","","","","","","","90.14","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Jambi","Kabupaten Batang Hari","kabupaten batang hari","126.64","0","1","1","","Tidak Ada","unmatched","","","","","","","100","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Jambi","Kabupaten Muaro Jambi","kabupaten muaro jambi","213.59","0.12","0.88","0.6","","Tidak Ada","unmatched","","","","","","","80","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Jambi","Kabupaten Tanjung Jabung Timur","kabupaten tanjung jabung timur","118.36","0","1","0.63","","Tidak Ada","unmatched","","","","","","","89.43","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Jambi","Kabupaten Tanjung Jabung Barat","kabupaten tanjung jabung barat","167.16","0","1","0.74","","Tidak Ada","unmatched","","","","","","","92.57","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Jambi","Kabupaten Tebo","kabupaten tebo","142.61","0.33","0.67","0.67","","Tidak Ada","unmatched","","","","","","","67","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Jambi","Kabupaten Bungo","kabupaten bungo","190.01","0.26","0.74","0.74","","Tidak Ada","unmatched","","","","","","","74","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Jambi","Kota Jambi","kota jambi","446.77","0.94","0.06","0.06","","Tidak Ada","unmatched","","","","","","","6","Low","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Jambi","Kota Sungai Penuh","kota sungai penuh","51.11","0.24","0.76","0.06","","Tidak Ada","matched","41.6","18.19","17.3","35.49","48.53","100","55.6","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Jawa Barat","Kabupaten Bogor","kabupaten bogor","2784.33","0.22","0.78","0.49","Telah PKS","Dalam Perencanaan","matched","","","","0","0","0","82.33","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Jawa Barat","Kabupaten Sukabumi","kabupaten sukabumi","1128","0.24","0.76","0.54","PKS - Operasional","Tidak Ada","unmatched","","","","","","","69.71","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Jawa Barat","Kabupaten Cianjur","kabupaten cianjur","1305.16","0.03","0.97","0.68","Penjajakan","Tidak Ada","matched","61.05","6.94","14.39","21.33","24.97","100","90.8","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Jawa Barat","Kabupaten Bandung","kabupaten bandung","1762.11","0.08","0.92","0.77","","Dalam Perencanaan","unmatched","","","","","","","87.71","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Jawa Barat","Kabupaten Garut","kabupaten garut","1141.12","0.14","0.86","0.66","","Dalam Perencanaan","matched","59.3","6.3","20.5","26.8","29.4","100","83.35","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Jawa Barat","Kabupaten Tasikmalaya","kabupaten tasikmalaya","798.42","0.01","0.99","0.93","Telah MoU","Tidak Ada","unmatched","","","","","","","97.29","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Jawa Barat","Kabupaten Ciamis","kabupaten ciamis","501.02","0.8","0.2","0.2","","Tidak Ada","matched","38","16","20","36","41.4","100","39.3","Low","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Jawa Barat","Kabupaten Kuningan","kabupaten kuningan","485.57","0.12","0.88","0.34","Penjajakan","Tidak Ada","matched","40","10","16","26","48","100","67.95","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Jawa Barat","Kabupaten Cirebon","kabupaten cirebon","1249.95","0.03","0.97","0.57","Telah MoU","Tidak Ada","matched","10","10","40","50","65","100","29.95","Low","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Jawa Barat","Kabupaten Majalengka","kabupaten majalengka","938.43","0.02","0.98","0.85","Penjajakan","Tidak Ada","unmatched","","","","","","","94.29","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Jawa Barat","Kabupaten Sumedang","kabupaten sumedang","490.66","0.14","0.86","0.52","Penjajakan","Dalam Perencanaan","matched","30","10.5","27.5","38","52.5","100","50.05","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Jawa Barat","Kabupaten Indramayu","kabupaten indramayu","1121.64","0.09","0.91","0.37","Telah MoU","Tidak Ada","matched","45.17","8.47","13.78","22.25","39.01","100","76.65","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Jawa Barat","Kabupaten Subang","kabupaten subang","659.66","0.04","0.96","0.84","Penjajakan","Tidak Ada","unmatched","","","","","","","92.57","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
