"country","year","province","municipality","waste_generation_tpd","food_waste_share_pct","paper_cardboard_share_pct","plastic_share_pct","known_share_pct","unknown_or_other_share_pct","estimated_lhv_low_food_unknown_zero_mj_per_kg","estimated_lhv_mixed_food_unknown_zero_mj_per_kg","estimated_lhv_mixed_food_other5_mj_per_kg","existing_feedstock_risk_score_0_100","source_note"
"Indonesia","2025","Jawa Timur","Kabupaten Tuban","528.51","58.52","5.78","11.02","75.32","25","7.252","8.716","9.966","75.4","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Timur","Kabupaten Lamongan","555.13","30","9","18","57","43","9.477","10.228","12.378","54.15","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Timur","Kabupaten Bangkalan","417.67","52.32","9.72","14.97","77.01","23","9.161","10.47","11.62","81.55","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Timur","Kabupaten Pamekasan","280.74","55","7","13","75","25","8.087","9.463","10.713","74.4","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Barat","Kabupaten Sambas","328.87","40","14.2","25","79.2","21","13.346","14.346","15.396","65.35","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Barat","Kabupaten Landak","166.01","35","20","28","83","17","15.184","16.06","16.91","55.6","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Barat","Kabupaten Mempawah","82.37","40.25","11.33","18.07","69.65","30","10.196","11.203","12.703","71.4","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Barat","Kabupaten Sanggau","253.78","56.21","4.73","7.1","68.04","32","5.465","6.871","8.471","98.4","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Barat","Kabupaten Ketapang","296.26","1.63","21.24","17.62","40.49","60","10.067","10.107","13.107","37.65","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Barat","Kabupaten Kapuas Hulu","110.44","44.77","12.8","28.62","86.19","14","14.752","15.872","16.572","66.05","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Barat","Kabupaten Kayong Utara","67.54","39.31","11.21","19.74","70.26","30","10.809","11.792","13.292","69.35","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Barat","Kota Singkawang","97.21","76","8.4","7.8","92.2","8","6.96","8.861","9.261","86","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Selatan","Kabupaten Banjar","365.43","34.76","4.84","17.15","56.75","43","8.717","9.586","11.736","54.5","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Selatan","Kabupaten Barito Kuala","100.27","42","10","21","73","27","11.232","12.283","13.633","60.05","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Selatan","Kabupaten Tapin","76.18","42.23","16.73","30.5","89.46","11","15.967","17.023","17.573","56.1","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Selatan","Kabupaten Hulu Sungai Selatan","119.21","55.18","13.13","25.35","93.66","6","13.866","15.247","15.547","61.25","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Selatan","Kabupaten Hulu Sungai Utara","119.13","49.1","8.41","13.8","71.31","29","8.398","9.626","11.076","76.9","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Selatan","Kabupaten Tabalong","138.7","52.71","11.79","25.91","90.41","10","13.812","15.13","15.63","55.9","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Selatan","Kabupaten Tanah Bumbu","175.66","64.04","3.2","12.3","79.54","20","7.588","9.19","10.19","73.95","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Selatan","Kabupaten Balangan","69.48","60.62","10.43","15.84","86.89","13","9.899","11.415","12.065","67.05","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Selatan","Kota Banjarmasin","477.39","130.98","43.2","42.69","216.87","0","27.682","30.958","30.958","69.2","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Tengah","Kabupaten Kotawaringin Barat","141.4","51","13","10","74","26","7.607","8.883","10.183","65.15","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Tengah","Kabupaten Kotawaringin Timur","245.44","53","15","15","83","17","9.946","11.272","12.122","83.35","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Tengah","Kabupaten Kapuas","215.09","30.38","13.06","20.79","64.23","36","11.175","11.934","13.734","58.05","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Tengah","Kabupaten Barito Selatan","68.43","49","8","30","87","13","14.767","15.993","16.643","72.35","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Tengah","Kabupaten Katingan","67.73","56.98","13.17","14.34","84.49","16","9.565","10.99","11.79","87.45","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Tengah","Kabupaten Pulang Pisau","72.28","23.51","13.31","25.13","61.95","38","12.691","13.28","15.18","51.55","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Tengah","Kabupaten Barito Timur","73.07","32","7","37","76","24","16.806","17.607","18.807","52.85","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Tengah","Kabupaten Murung Raya","62.15","40","5","31","76","24","14.422","15.422","16.622","61.95","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Timur","Kabupaten Paser","128.23","45.9","8.28","17.02","71.2","29","9.545","10.693","12.143","57.95","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Timur","Kabupaten Kutai Barat","93.29","39.26","11.14","19.69","70.09","30","10.777","11.76","13.26","68.65","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Timur","Kabupaten Kutai Kartanegara","372.77","34.58","13.89","16.81","65.28","35","9.86","10.725","12.475","60.05","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Timur","Kabupaten Kutai Timur","224.43","41.05","11.15","21.06","73.26","27","11.386","12.412","13.762","67.75","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Timur","Kabupaten Berau","149.5","55.39","3.74","26.47","85.6","14","12.986","14.371","15.071","77.8","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Timur","Kabupaten Penajam Paser Utara","101.03","46.13","20.87","29.83","96.83","3","16.425","17.579","17.729","42.5","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Timur","Kota Balikpapan","540.69","42.3","10.26","7.2","59.76","40","5.801","6.859","8.859","52.15","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Timur","Kota Samarinda","607.95","52.88","11.41","12.94","77.23","23","8.615","9.938","11.088","80.35","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Timur","Kota Bontang","107.41","44.12","27.5","18","89.62","10","12.599","13.703","14.203","30.75","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kalimantan Utara","Kabupaten Nunukan","45.76","52.38","11.81","12.57","76.76","23","8.507","9.817","10.967","76.55","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Kepulauan Bangka Belitung","Kabupaten Bangka Barat","85.27","41","19","15.4","75.4","25","10.251","11.277","12.527","68.6","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
